month;C79.3;C79.5;I61.4;M19.85;M43.17;M47.26;M47.86;M48.02;M48.06;M48.54;M50.0;M50.1;M51.0;M51.1;M51.2;M51.3;M53.1;M54.14;M54.16;M54.17;M54.2;M54.4;M54.5;M80.88;S06.5;S06.6;S12.1;S12.25;S13.4;S32.01;S32.02;S32.1;T84.20
1;;;;;;3;;;2;;;;2;4;;;;;2;;;;;;;;;;;;;;
2;;;;;;;;;3;;2;;;2;2;;;;;;;;;;4;;;;;;;;
3;;2;;;;2;;;7;;;;;3;2;;;;;;;;;;5;2;;;;;;;
4;;;;;;2;;2;;;;;;6;;;;;;3;;;;;;2;;;;;;;
5;;;;;;2;;;3;;;;;3;3;;;;;3;;;;;3;;;;;;;;
6;;;;;;;;2;3;;;3;;4;;;;;;;;;;;2;2;2;;;;;;
7;;;;;;;;2;4;;;;;13;;;;;2;6;;;;;2;;;;;;;;
8;;;;;;;;;4;;;;;5;;;;;2;3;;3;;4;5;;;;;;;;
9;;;;;3;;;;;;;;;8;2;;;;;3;;;4;;3;3;;;;;;;
10;;;;;;;3;;4;;;;;5;3;;;;;2;;;2;;;2;;;;2;;;
11;;;;2;;;;2;4;;;;;7;;;;;;;;;;;2;4;2;;;;2;;
12;;3;;3;;;;;2;;;2;;5;;2;;;;;2;;;;4;;;;;;;;
13;;2;;;;;;;8;;;;;3;;;;;;2;;;;;3;;;;;;;;
14;;;;;;2;;2;7;;;2;;11;;;;;;;;;;;6;4;;;;;;;
15;;;;;;;2;;4;;;;;3;;;;;;;;2;;3;7;;;;;;;;
16;;;;;;;;;5;;;;;7;2;;;;;3;;4;;;;2;;2;;3;;;
17;;;;;;3;2;;4;;;;;8;;;;2;;4;;5;2;2;4;;;;;;;;
18;;;2;;;3;;;5;;;2;;3;;;;;;;;3;;2;4;;;;;;;;2
19;2;;;;;;;;10;;;;;7;;;;;;2;2;;;;;;;;;;;;
20;;;;;;;;;7;;;2;;4;;;;;3;3;;2;;2;;;;;;;;;
21;;2;;;;;;;3;;;;;3;;;;;;2;;;;3;2;5;;;;;;;
22;;;;;;;;;6;2;;;;10;;;;;;;;6;;;;;;;;;;2;
23;;2;;;;;;;8;;;2;;3;;;2;;;2;;;;;2;;;;;;;;
24;;;;;;;;;4;;;;;12;;;;;;;;;;2;4;;;;2;;;;
