month;5-010.2;5-012.0;5-013.1;5-022.00;5-023.10;5-030.70;5-032.00;5-032.01;5-032.10;5-032.30;5-032.31;5-032.32;5-033.0;5-035.2;5-831.0;5-831.2;5-839.0;5-839.61;5-839.a0;5-839.a1;5-83b.20;5-83b.50;5-83b.51;5-83b.70;5-83b.71;8-914.12;8-914.1x;8-917.13;8-917.1x
1;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;
2;;;4;;;;2;2;;;;;;;;;;;;;;;3;;;2;;;
3;;;;;;;4;;;;;;;;;;;;;;;;;;;3;2;;
4;;3;2;;;2;;;;;;;;;;;;;;;;;2;;;;;;2
5;;;2;;;;2;;;;;;;;;2;;;;;;;;;;;2;;
6;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
7;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;3;
8;;;4;;;;;;;3;;;;;;3;;;;;;;;;;;;4;
9;;;;;;;5;;;;;;;;;2;;;2;;;;;;;;;;
10;;;;;;;2;;;;;3;;;;;;;3;;;;;;;;;;
11;;;2;;;;;;;;;;;;;3;;;3;;;;;;;2;;;
12;4;;;;;;;;;;3;;;;2;5;;;;;;;;;;;;4;
13;2;4;;;;;2;;;2;;;;;;;;;;;;;;;;;;2;
14;;;3;;;;2;;;;;;;;;7;;;;;;;;;;2;;;
15;4;;;;;;;;;;;;;;;;;;;;;;;2;;3;;;
16;2;;;;;;;;;;;;;;;2;;;4;;;;;2;;;;;
17;2;;;;;;;;;2;;;;;;2;;;3;;;;;;;4;;;
18;;;2;3;;;2;;;;;;;;;2;2;2;2;;;;;;;;;2;
19;;;;;2;;;;3;2;;;;;;;;;;;;;;;;;;;
20;;2;2;;;;;;;;;;;;;;;;2;;2;;;;2;;;3;
21;2;;3;;;;;;;;;;;;;4;;;;;;2;3;;;;;;
22;;;;;;;;;;;;;4;2;;;;;;;;;2;2;;;;;
23;;;;3;;;;;;;;;;;;4;;;;2;;;2;;;;;;
24;;;2;;;;;;;2;;;;;;2;2;;4;;;;;2;;;;;
